,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
54043,0.148,36.8,7.0,0.303,578.2,0.095,0.368,0.297,0.107,120.2,0.28,23.0,0.85,9784.0,37.0,102.69,28.0,0.19,0.346,0.357,0.81,4.697,35524.0,6.936,0.41,0.084,205.76,13.08,0.0,0.135,21559,0.001
19153,0.078,139.6,5.9,0.108,321.3,0.922,0.282,0.176,0.193,463.1,0.073,65.0,0.9,7762.0,181.0,49.03,98.0,0.093,0.16,0.308,0.879,4.156,59388.0,13.117,0.725,0.048,330.02,10.34,0.289,0.133,451677,0.03
16017,0.091,47.6,7.0,0.15,303.3,0.8,0.24,0.185,0.194,197.6,0.192,49.0,0.81,7113.0,214.0,32.08,69.0,0.201,0.259,0.302,0.765,4.618,41797.0,9.882,0.564,0.086,112.74,11.35,0.05,0.218,40699,0.002
48091,0.098,94.8,5.0,0.12,305.3,0.85,0.291,0.169,0.194,311.2,0.158,68.0,0.85,10300.0,107.0,51.1,70.0,0.203,0.156,0.218,0.927,4.382,70322.0,10.316,0.665,0.061,281.8,8.56,0.009,0.137,118480,0.023
20099,0.12,65.2,7.0,0.185,468.0,0.694,0.344,0.212,0.151,319.5,0.162,29.0,0.79,9345.0,62.0,55.63,80.0,0.144,0.266,0.314,0.931,4.204,38542.0,16.914,0.641,0.075,507.91,8.59,0.357,0.1,20916,0.005
47187,0.098,82.5,3.3,0.069,207.2,0.67,0.27,0.109,0.139,128.0,0.097,73.0,0.88,9137.0,133.0,46.67,143.0,0.082,0.067,0.152,0.92,4.107,93241.0,12.804,0.817,0.056,123.63,14.52,0.0,0.108,198901,0.007
54091,0.118,41.6,7.0,0.268,423.8,0.638,0.361,0.256,0.092,135.4,0.148,18.0,0.8,10428.0,29.0,74.51,47.0,0.18,0.249,0.261,0.725,4.891,38720.0,14.714,0.476,0.055,32.53,13.42,0.0,0.076,16973,0.0
28157,0.186,248.9,7.0,0.286,573.8,0.119,0.399,0.226,0.131,551.3,0.217,32.0,0.89,10614.0,92.0,63.15,32.0,0.198,0.421,0.577,0.575,6.122,26373.0,13.783,0.387,0.111,205.76,10.49,0.0,0.149,9381,0.004
47113,0.134,261.2,10.7,0.19,405.5,0.689,0.373,0.196,0.098,902.1,0.159,63.0,0.87,10162.0,224.0,61.39,139.0,0.165,0.304,0.442,0.95,5.215,40750.0,17.333,0.55,0.084,887.56,13.85,0.0,0.186,98733,0.009
34015,0.107,160.5,5.1,0.137,339.8,0.894,0.286,0.192,0.189,279.7,0.1,43.0,0.83,10139.0,67.0,80.17,55.0,0.101,0.114,0.264,0.898,4.102,71137.0,7.977,0.682,0.085,159.67,11.58,0.05,0.162,290265,0.013
28109,0.137,198.1,9.2,0.254,498.8,0.628,0.329,0.298,0.128,334.6,0.251,20.0,0.84,11181.0,40.0,101.52,29.0,0.207,0.346,0.358,0.796,5.396,41706.0,9.766,0.537,0.085,162.98,11.97,0.106,0.182,55072,0.001
45031,0.154,356.1,11.1,0.226,548.6,0.699,0.341,0.236,0.095,720.6,0.212,28.0,0.75,10368.0,110.0,71.22,50.0,0.191,0.392,0.482,0.93,5.35,34209.0,14.382,0.496,0.089,820.82,12.19,0.061,0.156,67935,0.005
37037,0.105,182.5,7.2,0.194,277.2,0.67,0.256,0.204,0.172,215.2,0.199,21.0,0.91,8134.0,97.0,39.06,100.0,0.195,0.219,0.27,0.821,4.552,56981.0,10.761,0.616,0.055,175.45,12.34,0.038,0.161,66817,0.041
47105,0.142,63.8,7.0,0.127,371.6,0.785,0.28,0.236,0.1625,204.8,0.126,46.0,0.9,9556.0,50.0,47.0,50.0,0.166,0.248,0.269,0.914,4.455,53230.0,13.456,0.485,0.074,279.9,13.49,0.0,0.11,50448,0.022
19031,0.107,103.0,7.0,0.053,260.5,0.747,0.32,0.185,0.212,228.1,0.094,54.0,0.92,7291.0,92.0,40.98,16.0,0.081,0.09,0.275,0.848,3.232,58530.0,18.462,0.627,0.041,80.98,11.18,0.0,0.086,18393,0.004
48349,0.117,175.1,7.0,0.234,397.0,0.551,0.342,0.238,0.1625,616.9,0.148,31.0,0.87,10310.0,58.0,70.92,42.0,0.271,0.335,0.404,0.908,4.596,38423.0,10.838,0.465,0.071,450.26,9.41,0.023,0.173,48038,0.065
21095,0.147,41.2,9.0,0.364,686.5,0.542,0.341,0.312,0.1625,154.2,0.241,28.0,0.83,11900.0,21.0,218.3,39.0,0.18,0.366,0.325,0.869,5.125,25460.0,11.211,0.43,0.176,91.44,13.03,0.037,0.148,28499,0.003
48377,0.099,103.0,7.0,0.176,126.3,0.342,0.245,0.2075,0.1625,292.4,0.232,14.0,0.87,6165.0,14.0,50.16,27.0,0.35,0.345,0.292,0.958,5.286,32766.0,11.96,0.487,0.119,46.09,10.74,0.012,0.192,7201,0.296
2068,0.063,103.0,7.0,0.065,376.65,0.337,0.236,0.214,0.276,293.0,0.16,0.0,0.86,5533.0,92.0,65.31,0.0,0.23,0.039,0.046,0.848,3.471,68103.0,26.667,0.744,0.088,205.76,11.93,0.012,0.271,1867,0.029
48417,0.11,103.0,7.0,0.165,393.5,0.807,0.33,0.2075,0.1625,149.0,0.148,0.0,0.9,11172.0,30.0,63.2,50.5,0.257,0.222,0.219,0.848,4.903,51116.0,20.858,0.53,0.028,58.85,9.63,0.562,0.099,3375,0.011
38057,0.092,103.0,7.0,0.147,297.3,0.661,0.3,0.151,0.187,141.4,0.061,58.0,0.84,7720.0,23.0,43.13,59.0,0.1,0.079,0.149,0.848,4.27,70150.0,29.46,0.71,0.043,109.3,9.79,0.011,0.077,8592,0.004
51091,0.129,103.0,7.0,0.165,317.4,0.407,0.284,0.2075,0.1625,293.0,0.148,45.0,0.88,8697.0,135.0,80.48,50.5,0.258,0.243,0.11,0.848,3.466,38314.0,35.635,0.37,0.056,71.82,13.05,0.0,0.071,2215,0.0
27041,0.079,26.3,7.0,0.108,253.0,0.728,0.255,0.208,0.202,151.0,0.074,68.0,0.86,8318.0,134.0,41.48,110.0,0.09,0.13,0.197,0.8,4.12,52122.0,21.969,0.739,0.043,105.8,12.88,0.0,0.131,36545,0.002
45075,0.162,580.0,13.7,0.194,534.0,0.521,0.41,0.213,0.11,986.1,0.217,35.0,0.84,9226.0,129.0,45.02,49.0,0.212,0.383,0.507,0.755,5.665,32180.0,14.211,0.497,0.117,511.48,12.53,0.01,0.184,90942,0.007
29177,0.118,39.7,7.0,0.22,418.0,0.549,0.315,0.27,0.126,316.5,0.143,17.0,0.82,11179.0,26.0,114.06,43.0,0.147,0.208,0.279,0.897,3.919,52430.0,13.441,0.482,0.077,198.93,9.09,0.0,0.112,23039,0.002
18067,0.125,122.2,6.0,0.195,406.1,0.733,0.355,0.24,0.136,304.2,0.184,81.0,0.83,10458.0,163.0,53.56,64.0,0.153,0.242,0.348,0.894,4.678,45211.0,17.26,0.59,0.082,259.05,13.49,0.0,0.138,82760,0.007
12029,0.15,342.2,7.0,0.306,476.9,0.32,0.357,0.312,0.074,372.1,0.313,25.0,0.82,10780.0,6.0,87.14,19.0,0.203,0.395,0.366,0.775,3.765,31649.0,10.542,0.419,0.089,401.78,11.67,0.685,0.097,15940,0.006
45029,0.166,399.7,9.3,0.201,549.5,0.427,0.382,0.241,0.105,841.3,0.226,24.0,0.85,10879.0,90.0,72.7,55.0,0.237,0.393,0.455,0.76,4.699,33817.0,11.27,0.509,0.095,697.01,12.6,0.01,0.189,37788,0.007
13191,0.137,299.6,7.0,0.244,386.8,0.751,0.311,0.291,0.1625,411.9,0.178,14.0,0.82,9032.0,186.0,65.97,14.0,0.223,0.365,0.444,0.825,4.63,36346.0,8.671,0.558,0.101,242.33,12.81,0.0,0.177,14007,0.001
18087,0.105,22.0,6.8,0.139,305.1,0.387,0.338,0.193,0.115,88.0,0.129,26.0,0.85,8063.0,29.0,58.89,29.0,0.281,0.193,0.117,0.909,3.556,51810.0,9.861,0.267,0.063,41.98,13.01,0.0,0.139,37996,0.034
55053,0.09,103.0,7.0,0.126,292.7,0.622,0.305,0.203,0.307,302.7,0.149,53.0,0.89,7319.0,97.0,62.92,112.0,0.136,0.225,0.331,0.935,3.926,46442.0,14.157,0.515,0.076,74.67,11.74,0.0,0.157,20644,0.004
55081,0.082,32.8,6.6,0.115,350.2,0.621,0.304,0.226,0.257,317.1,0.076,44.0,0.92,7104.0,132.0,60.67,62.0,0.127,0.222,0.283,0.924,3.726,51411.0,11.53,0.58,0.065,125.3,11.87,0.0,0.14,45298,0.012
55077,0.095,37.0,7.0,0.177,345.9,0.373,0.301,0.242,0.255,210.5,0.148,20.0,0.89,7200.0,66.0,52.85,7.0,0.122,0.206,0.309,0.875,3.812,47760.0,10.523,0.498,0.084,56.09,11.81,0.0,0.143,15176,0.004
